facility_id,report_path,report_date,capacity,total_enrolled,method,snippet
380501318,data/ccld-reports/380501318/report-2.html,2023-01-20,110,110,table,TOTAL ENROLLED CHILDREN: 110
380501318,data/ccld-reports/380501318/report-3.html,2023-11-01,110,110,table,TOTAL ENROLLED CHILDREN: 110
380501318,data/ccld-reports/380501318/report-4.html,2024-01-10,110,110,table,TOTAL ENROLLED CHILDREN: 110
380501318,data/ccld-reports/380501318/report-5.html,2025-03-05,110,110,table,TOTAL ENROLLED CHILDREN: 110
380503028,data/ccld-reports/380503028/report-0.html,2021-04-13,100,,table,100
380503028,data/ccld-reports/380503028/report-1.html,2021-09-30,100,,table,100
380503028,data/ccld-reports/380503028/report-2.html,2021-09-15,0,0,table,TOTAL ENROLLED CHILDREN: 0
380503028,data/ccld-reports/380503028/report-3.html,2022-07-26,100,100,table,TOTAL ENROLLED CHILDREN: 100
380503028,data/ccld-reports/380503028/report-4.html,2023-10-16,100,100,table,TOTAL ENROLLED CHILDREN: 100
380503028,data/ccld-reports/380503028/report-5.html,2024-10-07,100,100,table,TOTAL ENROLLED CHILDREN: 100
380503028,data/ccld-reports/380503028/report-6.html,2025-08-05,100,100,table,TOTAL ENROLLED CHILDREN: 100
380503900,data/ccld-reports/380503900/report-0.html,2021-08-13,42,,table,42
380503900,data/ccld-reports/380503900/report-1.html,2022-08-02,42,,table,42
380503900,data/ccld-reports/380503900/report-2.html,2022-11-03,42,,table,42
380503900,data/ccld-reports/380503900/report-3.html,2023-02-15,42,42,table,TOTAL ENROLLED CHILDREN: 42
380503900,data/ccld-reports/380503900/report-4.html,2023-04-19,42,42,table,TOTAL ENROLLED CHILDREN: 42
380503900,data/ccld-reports/380503900/report-5.html,2023-10-10,42,42,table,TOTAL ENROLLED CHILDREN: 42
380503900,data/ccld-reports/380503900/report-6.html,2024-04-18,42,42,table,TOTAL ENROLLED CHILDREN: 42
380503900,data/ccld-reports/380503900/report-7.html,2025-05-01,42,42,table,TOTAL ENROLLED CHILDREN: 42
380503900,data/ccld-reports/380503900/report-8.html,2025-10-02,42,42,table,TOTAL ENROLLED CHILDREN: 42
380503970,data/ccld-reports/380503970/report-0.html,2022-01-18,60,,table,60
380503970,data/ccld-reports/380503970/report-1.html,2022-09-15,42,42,table,TOTAL ENROLLED CHILDREN: 42
380503970,data/ccld-reports/380503970/report-2.html,2022-09-15,42,42,table,TOTAL ENROLLED CHILDREN: 42
380503970,data/ccld-reports/380503970/report-3.html,2024-08-22,53,53,table,TOTAL ENROLLED CHILDREN: 53
380503970,data/ccld-reports/380503970/report-4.html,2025-07-01,23,23,table,TOTAL ENROLLED CHILDREN: 23
380504038,data/ccld-reports/380504038/report-0.html,2023-06-28,30,30,table,TOTAL ENROLLED CHILDREN: 30
380504038,data/ccld-reports/380504038/report-1.html,2024-09-11,30,30,table,TOTAL ENROLLED CHILDREN: 30
380504038,data/ccld-reports/380504038/report-2.html,2025-07-11,30,30,table,TOTAL ENROLLED CHILDREN: 30
380504038,data/ccld-reports/380504038/report-3.html,2025-08-04,30,30,table,TOTAL ENROLLED CHILDREN: 30
380504038,data/ccld-reports/380504038/report-4.html,2025-10-30,30,30,table,TOTAL ENROLLED CHILDREN: 30
380504052,data/ccld-reports/380504052/report-0.html,2022-04-13,49,49,table,TOTAL ENROLLED CHILDREN: 49
380504052,data/ccld-reports/380504052/report-1.html,2023-11-02,49,49,table,TOTAL ENROLLED CHILDREN: 49
380504052,data/ccld-reports/380504052/report-2.html,2023-12-07,49,49,table,TOTAL ENROLLED CHILDREN: 49
380504052,data/ccld-reports/380504052/report-3.html,2024-11-08,38,38,table,TOTAL ENROLLED CHILDREN: 38
380504052,data/ccld-reports/380504052/report-4.html,2025-11-03,43,43,table,TOTAL ENROLLED CHILDREN: 43
380504052,data/ccld-reports/380504052/report-5.html,2025-11-20,49,49,table,TOTAL ENROLLED CHILDREN: 49
380504057,data/ccld-reports/380504057/report-0.html,2022-04-20,20,20,table,TOTAL ENROLLED CHILDREN: 20
380504057,data/ccld-reports/380504057/report-1.html,2024-12-02,20,20,table,TOTAL ENROLLED CHILDREN: 20
380504229,data/ccld-reports/380504229/report-0.html,2022-07-13,38,38,table,TOTAL ENROLLED CHILDREN: 38
380504229,data/ccld-reports/380504229/report-1.html,2023-12-08,38,38,table,TOTAL ENROLLED CHILDREN: 38
380504229,data/ccld-reports/380504229/report-2.html,2024-10-28,38,38,table,TOTAL ENROLLED CHILDREN: 38
380504276,data/ccld-reports/380504276/report-0.html,2022-06-08,16,16,table,TOTAL ENROLLED CHILDREN: 16
380504276,data/ccld-reports/380504276/report-1.html,2023-07-12,16,16,table,TOTAL ENROLLED CHILDREN: 16
380504276,data/ccld-reports/380504276/report-2.html,2024-06-18,16,16,table,TOTAL ENROLLED CHILDREN: 16
380504276,data/ccld-reports/380504276/report-3.html,2025-05-06,16,16,table,TOTAL ENROLLED CHILDREN: 16
380504311,data/ccld-reports/380504311/report-0.html,2023-06-07,44,,table,44
380504311,data/ccld-reports/380504311/report-1.html,2022-09-02,10,10,table,TOTAL ENROLLED CHILDREN: 10
380504311,data/ccld-reports/380504311/report-2.html,2022-09-28,44,44,table,TOTAL ENROLLED CHILDREN: 44
380504311,data/ccld-reports/380504311/report-3.html,2023-09-11,44,44,table,TOTAL ENROLLED CHILDREN: 44
380504311,data/ccld-reports/380504311/report-4.html,2024-08-20,44,44,table,TOTAL ENROLLED CHILDREN: 44
380504311,data/ccld-reports/380504311/report-5.html,2025-05-16,21,21,table,TOTAL ENROLLED CHILDREN: 21
380504314,data/ccld-reports/380504314/report-0.html,2022-06-17,65,65,table,TOTAL ENROLLED CHILDREN: 65
380504314,data/ccld-reports/380504314/report-1.html,2023-08-22,65,65,table,TOTAL ENROLLED CHILDREN: 65
380504314,data/ccld-reports/380504314/report-2.html,2023-10-17,65,65,table,TOTAL ENROLLED CHILDREN: 65
380504314,data/ccld-reports/380504314/report-3.html,2024-07-23,65,65,table,TOTAL ENROLLED CHILDREN: 65
380504314,data/ccld-reports/380504314/report-4.html,2025-05-28,65,65,table,TOTAL ENROLLED CHILDREN: 65
380504340,data/ccld-reports/380504340/report-0.html,2022-02-02,60,60,table,TOTAL ENROLLED CHILDREN: 60
380504340,data/ccld-reports/380504340/report-1.html,2023-01-17,60,60,table,TOTAL ENROLLED CHILDREN: 60
380504340,data/ccld-reports/380504340/report-2.html,2023-04-27,60,60,table,TOTAL ENROLLED CHILDREN: 60
380504340,data/ccld-reports/380504340/report-3.html,2024-04-02,60,60,table,TOTAL ENROLLED CHILDREN: 60
380504340,data/ccld-reports/380504340/report-4.html,2024-05-31,60,60,table,TOTAL ENROLLED CHILDREN: 60
380504340,data/ccld-reports/380504340/report-5.html,2025-02-05,30,30,table,TOTAL ENROLLED CHILDREN: 30
380504354,data/ccld-reports/380504354/report-0.html,2022-07-20,60,60,table,TOTAL ENROLLED CHILDREN: 60
380504354,data/ccld-reports/380504354/report-1.html,2022-09-14,60,60,table,TOTAL ENROLLED CHILDREN: 60
380504354,data/ccld-reports/380504354/report-2.html,2022-12-13,60,60,table,TOTAL ENROLLED CHILDREN: 60
380504354,data/ccld-reports/380504354/report-3.html,2023-12-19,60,60,table,TOTAL ENROLLED CHILDREN: 60
380504354,data/ccld-reports/380504354/report-4.html,2024-01-18,60,60,table,TOTAL ENROLLED CHILDREN: 60
380504354,data/ccld-reports/380504354/report-5.html,2024-10-21,60,60,table,TOTAL ENROLLED CHILDREN: 60
380504354,data/ccld-reports/380504354/report-6.html,2025-03-17,60,60,table,TOTAL ENROLLED CHILDREN: 60
380504369,data/ccld-reports/380504369/report-0.html,2021-11-03,70,,table,70
380504369,data/ccld-reports/380504369/report-1.html,2025-04-29,70,,table,70
380504369,data/ccld-reports/380504369/report-10.html,2025-09-15,40,40,table,TOTAL ENROLLED CHILDREN: 40
380504369,data/ccld-reports/380504369/report-2.html,2025-04-29,70,,table,70
380504369,data/ccld-reports/380504369/report-3.html,2025-09-15,70,,table,70
380504369,data/ccld-reports/380504369/report-4.html,2021-11-03,45,45,table,TOTAL ENROLLED CHILDREN: 45
380504369,data/ccld-reports/380504369/report-5.html,2022-10-24,50,50,table,TOTAL ENROLLED CHILDREN: 50
380504369,data/ccld-reports/380504369/report-6.html,2023-10-20,70,70,table,TOTAL ENROLLED CHILDREN: 70
380504369,data/ccld-reports/380504369/report-7.html,2025-04-29,64,64,table,TOTAL ENROLLED CHILDREN: 64
380504369,data/ccld-reports/380504369/report-8.html,2025-06-17,54,54,table,TOTAL ENROLLED CHILDREN: 54
380504369,data/ccld-reports/380504369/report-9.html,2025-08-04,49,49,table,TOTAL ENROLLED CHILDREN: 49
380504378,data/ccld-reports/380504378/report-0.html,2023-05-24,69,69,table,TOTAL ENROLLED CHILDREN: 69
380504378,data/ccld-reports/380504378/report-1.html,2023-08-30,69,69,table,TOTAL ENROLLED CHILDREN: 69
380504378,data/ccld-reports/380504378/report-2.html,2024-05-28,69,69,table,TOTAL ENROLLED CHILDREN: 69
380504378,data/ccld-reports/380504378/report-3.html,2024-05-31,69,69,table,TOTAL ENROLLED CHILDREN: 69
380504384,data/ccld-reports/380504384/report-0.html,2023-01-06,60,60,table,TOTAL ENROLLED CHILDREN: 60
380504384,data/ccld-reports/380504384/report-1.html,2023-05-16,60,60,table,TOTAL ENROLLED CHILDREN: 60
380504384,data/ccld-reports/380504384/report-2.html,2024-01-24,60,60,table,TOTAL ENROLLED CHILDREN: 60
380504384,data/ccld-reports/380504384/report-3.html,2025-01-28,28,28,table,TOTAL ENROLLED CHILDREN: 28
380504386,data/ccld-reports/380504386/report-0.html,2023-01-19,43,43,table,TOTAL ENROLLED CHILDREN: 43
380504386,data/ccld-reports/380504386/report-1.html,2024-05-21,16,16,table,TOTAL ENROLLED CHILDREN: 16
380504386,data/ccld-reports/380504386/report-2.html,2025-05-01,18,18,table,TOTAL ENROLLED CHILDREN: 18
380504389,data/ccld-reports/380504389/report-0.html,2023-02-24,48,48,table,TOTAL ENROLLED CHILDREN: 48
380504389,data/ccld-reports/380504389/report-1.html,2024-04-05,48,48,table,TOTAL ENROLLED CHILDREN: 48
380504389,data/ccld-reports/380504389/report-2.html,2025-03-06,15,15,table,TOTAL ENROLLED CHILDREN: 15
380504406,data/ccld-reports/380504406/report-0.html,2023-04-13,102,102,table,TOTAL ENROLLED CHILDREN: 102
380504406,data/ccld-reports/380504406/report-1.html,2024-04-03,102,102,table,TOTAL ENROLLED CHILDREN: 102
380504406,data/ccld-reports/380504406/report-2.html,2024-04-03,102,102,table,TOTAL ENROLLED CHILDREN: 102
380504406,data/ccld-reports/380504406/report-3.html,2024-08-05,102,102,table,TOTAL ENROLLED CHILDREN: 102
380504406,data/ccld-reports/380504406/report-4.html,2025-04-17,102,102,table,TOTAL ENROLLED CHILDREN: 102
380504406,data/ccld-reports/380504406/report-5.html,2025-06-12,102,102,table,TOTAL ENROLLED CHILDREN: 102
380504406,data/ccld-reports/380504406/report-6.html,2025-10-07,102,,table,102
380504419,data/ccld-reports/380504419/report-0.html,2022-06-23,56,56,table,TOTAL ENROLLED CHILDREN: 56
380504419,data/ccld-reports/380504419/report-1.html,2022-09-09,56,56,table,TOTAL ENROLLED CHILDREN: 56
380504419,data/ccld-reports/380504419/report-2.html,2023-10-04,56,56,table,TOTAL ENROLLED CHILDREN: 56
380504419,data/ccld-reports/380504419/report-3.html,2023-10-31,56,56,table,TOTAL ENROLLED CHILDREN: 56
380504419,data/ccld-reports/380504419/report-4.html,2024-09-25,36,36,table,TOTAL ENROLLED CHILDREN: 36
380504419,data/ccld-reports/380504419/report-5.html,2025-09-17,56,56,table,TOTAL ENROLLED CHILDREN: 56
380504419,data/ccld-reports/380504419/report-6.html,2025-09-19,56,56,table,TOTAL ENROLLED CHILDREN: 56
380504419,data/ccld-reports/380504419/report-7.html,2025-11-19,56,56,table,TOTAL ENROLLED CHILDREN: 56
380504442,data/ccld-reports/380504442/report-0.html,2023-02-15,136,,table,136
380504442,data/ccld-reports/380504442/report-1.html,2022-11-01,136,136,table,TOTAL ENROLLED CHILDREN: 136
380504442,data/ccld-reports/380504442/report-2.html,2023-11-01,136,136,table,TOTAL ENROLLED CHILDREN: 136
380504442,data/ccld-reports/380504442/report-3.html,2024-02-28,136,136,table,TOTAL ENROLLED CHILDREN: 136
380504442,data/ccld-reports/380504442/report-4.html,2024-07-29,136,136,table,TOTAL ENROLLED CHILDREN: 136
380504442,data/ccld-reports/380504442/report-5.html,2024-11-05,104,104,table,TOTAL ENROLLED CHILDREN: 104
380504442,data/ccld-reports/380504442/report-6.html,2025-11-18,136,136,table,TOTAL ENROLLED CHILDREN: 136
380504444,data/ccld-reports/380504444/report-0.html,2022-12-09,96,96,table,TOTAL ENROLLED CHILDREN: 96
380504444,data/ccld-reports/380504444/report-1.html,2023-02-15,96,96,table,TOTAL ENROLLED CHILDREN: 96
380504444,data/ccld-reports/380504444/report-2.html,2024-04-23,49,49,table,TOTAL ENROLLED CHILDREN: 49
380504444,data/ccld-reports/380504444/report-3.html,2024-04-23,49,49,table,TOTAL ENROLLED CHILDREN: 49
380504444,data/ccld-reports/380504444/report-4.html,2024-12-18,29,29,table,TOTAL ENROLLED CHILDREN: 29
380504444,data/ccld-reports/380504444/report-5.html,2025-04-22,43,43,table,TOTAL ENROLLED CHILDREN: 43
380504523,data/ccld-reports/380504523/report-0.html,2023-06-07,36,,table,36
380504523,data/ccld-reports/380504523/report-1.html,2022-04-29,36,36,table,TOTAL ENROLLED CHILDREN: 36
380504523,data/ccld-reports/380504523/report-2.html,2023-12-04,36,36,table,TOTAL ENROLLED CHILDREN: 36
