school_id,program_code,application_year,grade,choice_lower,choice_upper,requests
607,CN,2022,6,1,1,76
607,ED,2022,6,1,1,3
607,GE,2022,6,1,1,262
607,MM,2022,6,1,1,3
607,SN,2022,6,1,1,57
607,CN,2022,7,1,1,1
607,GE,2022,7,1,1,4
607,CN,2022,8,1,1,1
607,GE,2022,8,1,1,2
607,SN,2022,8,1,1,1
537,MS,2022,K,1,1,1
537,SE,2022,K,1,1,42
537,SN,2022,K,1,1,32
537,SE,2022,1,1,1,1
537,SN,2022,1,1,1,4
537,SN,2022,4,1,1,1
644,AF,2022,K,1,1,4
644,GE,2022,K,1,1,75
644,GE,2022,1,1,1,5
644,GE,2022,2,1,1,3
644,AF,2022,3,1,1,1
644,GE,2022,3,1,1,2
644,GE,2022,4,1,1,2
757,GE,2022,9,1,1,23
757,MM,2022,9,1,1,1
757,MS,2022,9,1,1,2
757,GE,2022,10,1,1,2
757,GE,2022,12,1,1,3
544,GE,2022,K,1,1,82
544,GE,2022,1,1,1,2
544,GE,2022,2,1,1,2
544,GE,2022,3,1,1,1
544,GE,2022,4,1,1,5
544,GE,2022,5,1,1,2
838,GE,2022,K,1,1,4
838,ME,2022,K,1,1,22
838,MN,2022,K,1,1,23
838,SA,2022,K,1,1,3
838,ME,2022,1,1,1,1
710,GE,2022,6,1,1,143
710,MM,2022,6,1,1,1
664,GE,2022,K,1,1,64
664,GE,2022,1,1,1,1
664,GE,2022,2,1,1,4
664,GE,2022,3,1,1,2
664,GE,2022,4,1,1,4
664,GE,2022,5,1,1,1
670,AF,2022,K,1,1,2
670,GE,2022,K,1,1,30
670,AF,2022,1,1,1,1
670,GE,2022,1,1,1,2
670,GE,2022,3,1,1,1
490,CB,2022,K,1,1,61
490,GE,2022,K,1,1,30
490,CB,2022,1,1,1,2
490,GE,2022,1,1,1,1
490,CB,2022,2,1,1,1
490,GE,2022,2,1,1,1
490,CB,2022,3,1,1,3
490,CB,2022,4,1,1,1
490,GE,2022,4,1,1,3
490,GE,2022,5,1,1,1
676,GE,2022,K,1,1,137
676,GE,2022,1,1,1,7
676,GE,2022,2,1,1,6
676,GE,2022,3,1,1,5
676,GE,2022,4,1,1,8
676,GE,2022,5,1,1,10
676,GE,2022,6,1,1,50
676,GE,2022,7,1,1,7
676,GE,2022,8,1,1,2
476,NC,2022,5,1,1,1
634,ED,2022,6,1,1,4
634,GE,2022,6,1,1,63
634,MM,2022,6,1,1,4
634,SN,2022,6,1,1,56
634,GE,2022,7,1,1,3
634,GE,2022,8,1,1,3
479,GE,2022,K,1,1,127
479,KE,2022,K,1,1,38
479,KN,2022,K,1,1,9
479,GE,2022,1,1,1,10
479,GE,2022,2,1,1,8
479,KN,2022,2,1,1,1
479,GE,2022,3,1,1,6
479,GE,2022,4,1,1,1
479,GE,2022,5,1,1,11
479,GE,2022,6,1,1,47
479,GE,2022,7,1,1,9
479,GE,2022,8,1,1,2
405,AF,2022,9,1,1,5
405,ED,2022,9,1,1,1
405,GE,2022,9,1,1,840
405,MM,2022,9,1,1,6
405,MS,2022,9,1,1,1
405,NX,2022,9,1,1,2
405,SA,2022,9,1,1,1
405,AF,2022,10,1,1,1
405,GE,2022,10,1,1,16
405,GE,2022,11,1,1,31
405,NX,2022,11,1,1,1
405,GE,2022,12,1,1,3
691,FB,2022,K,1,1,4
691,GE,2022,K,1,1,18
691,MM,2022,K,1,1,1
691,SB,2022,K,1,1,23
691,FB,2022,2,1,1,1
691,FB,2022,3,1,1,1
691,SB,2022,4,1,1,1
697,AF,2022,9,1,1,5
697,GE,2022,9,1,1,1595
697,MM,2022,9,1,1,6
697,MS,2022,9,1,1,5
697,SA,2022,9,1,1,4
697,GE,2022,10,1,1,53
697,GE,2022,11,1,1,40
697,SA,2022,11,1,1,1
697,GE,2022,12,1,1,8
697,CA,2022,13,1,1,6
830,GE,2022,TK,1,1,5
830,GE,2022,K,1,1,10
708,AF,2022,6,1,1,3
708,CN,2022,6,1,1,15
708,GE,2022,6,1,1,164
708,MM,2022,6,1,1,1
708,GE,2022,7,1,1,1
708,GE,2022,8,1,1,1
853,GE,2022,9,1,1,43
853,NX,2022,9,1,1,7
853,GE,2022,10,1,1,2
853,GE,2022,11,1,1,1
853,GE,2022,12,1,1,1
714,SE,2022,K,1,1,22
714,SN,2022,K,1,1,21
549,GE,2022,K,1,1,33
549,GE,2022,4,1,1,1
718,GE,2022,K,1,1,47
718,GE,2022,1,1,1,2
718,GE,2022,2,1,1,2
718,GE,2022,3,1,1,1
718,GE,2022,5,1,1,1
950,GE,2022,TK,1,1,17
950,MM,2022,TK,1,1,3
505,GE,2022,K,1,1,16
505,GE,2022,3,1,1,2
722,AF,2022,K,1,1,4
722,GE,2022,K,1,1,72
722,GE,2022,1,1,1,3
722,GE,2022,2,1,1,2
722,GE,2022,3,1,1,2
722,GE,2022,4,1,1,1
724,DS,2022,TK,1,1,9
724,NS,2022,K,1,1,2
725,ED,2022,9,1,1,2
725,GE,2022,9,1,1,111
725,MM,2022,9,1,1,4
725,MS,2022,9,1,1,3
725,NX,2022,9,1,1,8
725,GE,2022,10,1,1,4
725,NX,2022,10,1,1,6
725,ED,2022,11,1,1,1
725,GE,2022,11,1,1,3
725,NX,2022,11,1,1,1
725,GE,2022,12,1,1,1
725,CA,2022,13,1,1,4
729,CB,2022,K,1,1,17
729,GE,2022,K,1,1,26
729,SE,2022,K,1,1,25
729,SN,2022,K,1,1,16
729,GE,2022,1,1,1,1
729,SN,2022,1,1,1,2
729,GE,2022,2,1,1,1
729,SN,2022,2,1,1,1
729,GE,2022,3,1,1,1
729,CB,2022,4,1,1,1
729,GE,2022,4,1,1,2
729,CB,2022,5,1,1,1
729,GE,2022,5,1,1,2
729,SN,2022,5,1,1,1
723,CB,2022,K,1,1,6
723,GE,2022,K,1,1,10
723,SB,2022,K,1,1,26
723,GE,2022,1,1,1,1
723,SB,2022,1,1,1,1
723,CB,2022,4,1,1,1
650,GE,2022,K,1,1,12
650,SB,2022,K,1,1,11
650,GE,2022,4,1,1,1
650,SB,2022,4,1,1,1
650,GE,2022,5,1,1,1
735,GE,2022,K,1,1,50
735,GE,2022,1,1,1,2
735,GE,2022,2,1,1,2
735,GE,2022,4,1,1,3
735,GE,2022,5,1,1,2
928,GE,2022,TK,1,1,95
651,GE,2022,9,1,1,92
651,MM,2022,9,1,1,4
651,GE,2022,10,1,1,1
651,GE,2022,12,1,1,1
746,GE,2022,K,1,1,14
746,ME,2022,K,1,1,35
746,MN,2022,K,1,1,50
746,GE,2022,1,1,1,1
746,ME,2022,1,1,1,4
746,MN,2022,1,1,1,2
746,GE,2022,2,1,1,2
746,MN,2022,2,1,1,2
746,MN,2022,3,1,1,2
746,MN,2022,4,1,1,1
638,CB,2022,K,1,1,8
638,GE,2022,K,1,1,7
638,CB,2022,1,1,1,2
638,CB,2022,3,1,1,2
638,CB,2022,5,1,1,1
786,GE,2022,TK,1,1,13
786,AF,2022,K,1,1,2
786,GE,2022,K,1,1,18
786,JE,2022,K,1,1,15
786,JN,2022,K,1,1,3
786,JB,2022,1,1,1,3
786,JB,2022,4,1,1,1
569,GE,2022,K,1,1,107
569,GE,2022,1,1,1,3
569,GE,2022,2,1,1,1
569,GE,2022,3,1,1,4
569,GE,2022,4,1,1,3
569,GE,2022,5,1,1,2
778,AF,2022,6,1,1,1
778,AO,2022,6,1,1,2
778,GE,2022,6,1,1,329
778,JB,2022,6,1,1,39
778,MM,2022,6,1,1,2
778,MS,2022,6,1,1,1
778,TC,2022,6,1,1,3
778,GE,2022,7,1,1,8
778,GE,2022,8,1,1,2
790,GE,2022,TK,1,1,10
790,GE,2022,K,1,1,26
790,GE,2022,1,1,1,2
790,GE,2022,5,1,1,1
760,GE,2022,K,1,1,8
760,MM,2022,K,1,1,3
760,SE,2022,K,1,1,6
760,SN,2022,K,1,1,13
760,GE,2022,1,1,1,1
760,GE,2022,3,1,1,1
760,GE,2022,4,1,1,1
760,SN,2022,5,1,1,1
760,GE,2022,6,1,1,16
965,GE,2022,TK,1,1,12
796,GE,2022,K,1,1,65
796,GE,2022,1,1,1,5
796,GE,2022,2,1,1,5
796,GE,2022,4,1,1,2
796,GE,2022,5,1,1,5
796,GE,2022,6,1,1,40
796,GE,2022,7,1,1,9
796,GE,2022,8,1,1,3
797,AF,2022,6,1,1,1
797,CN,2022,6,1,1,68
797,GE,2022,6,1,1,290
797,MM,2022,6,1,1,3
797,SA,2022,6,1,1,3
797,GE,2022,7,1,1,11
797,MM,2022,7,1,1,1
797,GE,2022,8,1,1,4
816,GE,2022,K,1,1,7
816,MM,2022,K,1,1,1
816,SB,2022,K,1,1,12
816,MM,2022,1,1,1,2
816,SB,2022,4,1,1,3
955,GE,2022,TK,1,1,28
656,GE,2022,K,1,1,17
656,SB,2022,K,1,1,14
493,GE,2022,K,1,1,16
493,GE,2022,2,1,1,2
493,GE,2022,3,1,1,1
493,GE,2022,4,1,1,3
493,GE,2022,6,1,1,29
493,GE,2022,7,1,1,3
621,GX,2022,9,1,1,8
621,NS,2022,9,1,1,10
621,NX,2022,9,1,1,2
814,GE,2022,K,1,1,41
814,GE,2022,1,1,1,4
814,GE,2022,2,1,1,2
814,GE,2022,3,1,1,1
814,GE,2022,5,1,1,1
820,GE,2022,TK,1,1,22
820,GE,2022,K,1,1,23
820,GE,2022,1,1,1,1
820,GE,2022,2,1,1,1
823,AF,2022,K,1,1,2
823,GE,2022,K,1,1,55
823,GE,2022,1,1,1,1
823,GE,2022,3,1,1,1
823,GE,2022,4,1,1,1
488,GE,2022,K,1,1,51
488,GE,2022,1,1,1,5
488,GE,2022,2,1,1,3
488,GE,2022,3,1,1,2
488,GE,2022,4,1,1,1
488,GE,2022,5,1,1,1
834,CB,2022,K,1,1,3
834,GE,2022,K,1,1,10
834,SB,2022,K,1,1,14
834,GE,2022,1,1,1,1
834,SB,2022,5,1,1,1
