school_id,program_code,grade,num_requests,choice_min,choice_max,ay
481,SB,4,1,1,1.0,25-26
525,GE,TK,10,1,1.0,25-26
525,GE,K,10,1,1.0,25-26
525,GE,1,1,1,1.0,25-26
525,GE,2,0,1,1.0,25-26
525,GE,3,0,1,1.0,25-26
525,GE,4,1,1,1.0,25-26
525,GE,5,0,1,1.0,25-26
632,AF,6,7,1,1.0,25-26
632,ED,6,2,1,1.0,25-26
632,GE,6,197,1,1.0,25-26
632,GE,7,7,1,1.0,25-26
632,GE,8,0,1,1.0,25-26
632,MM,6,5,1,1.0,25-26
632,MM,7,1,1,1.0,25-26
507,GE,TK,13,1,1.0,25-26
507,GE,K,18,1,1.0,25-26
507,GE,1,1,1,1.0,25-26
507,GE,2,1,1,1.0,25-26
507,GE,4,0,1,1.0,25-26
507,GE,5,0,1,1.0,25-26
521,AF,TK,5,1,1.0,25-26
521,AF,K,1,1,1.0,25-26
521,AF,1,0,1,1.0,25-26
521,AF,2,0,1,1.0,25-26
521,GE,TK,5,1,1.0,25-26
521,GE,K,6,1,1.0,25-26
521,GE,1,2,1,1.0,25-26
521,GE,2,3,1,1.0,25-26
521,GE,3,1,1,1.0,25-26
521,GE,4,1,1,1.0,25-26
521,GE,5,1,1,1.0,25-26
529,AF,6,1,1,1.0,25-26
529,GE,6,42,1,1.0,25-26
529,GE,7,0,1,1.0,25-26
529,GE,8,2,1,1.0,25-26
529,MM,6,4,1,1.0,25-26
529,NX,6,5,1,1.0,25-26
529,NX,7,1,1,1.0,25-26
529,SN,8,0,1,1.0,25-26
539,GE,TK,34,1,1.0,25-26
539,GE,K,17,1,1.0,25-26
539,GE,1,3,1,1.0,25-26
539,GE,2,0,1,1.0,25-26
539,GE,3,0,1,1.0,25-26
539,GE,4,1,1,1.0,25-26
539,GE,5,0,1,1.0,25-26
680,GE,TK,11,1,1.0,25-26
680,GE,K,9,1,1.0,25-26
680,GE,1,1,1,1.0,25-26
680,GE,2,0,1,1.0,25-26
680,GE,3,0,1,1.0,25-26
680,GE,4,0,1,1.0,25-26
680,GE,5,0,1,1.0,25-26
680,SE,TK,31,1,1.0,25-26
680,SE,K,21,1,1.0,25-26
680,SE,1,0,1,1.0,25-26
680,SN,TK,19,1,1.0,25-26
680,SN,K,14,1,1.0,25-26
680,SN,1,1,1,1.0,25-26
680,SN,2,0,1,1.0,25-26
680,SN,3,2,1,1.0,25-26
680,SN,4,1,1,1.0,25-26
680,SN,5,1,1,1.0,25-26
546,ED,6,0,1,1.0,25-26
546,GE,6,101,1,1.0,25-26
546,GE,7,1,1,1.0,25-26
546,GE,8,2,1,1.0,25-26
546,MM,6,0,1,1.0,25-26
546,NX,6,6,1,1.0,25-26
546,SA,6,2,1,1.0,25-26
559,AF,9,1,1,1.0,25-26
559,CA,13,2,1,1.0,25-26
559,ED,9,1,1,1.0,25-26
559,ED,12,0,1,1.0,25-26
559,GE,9,204,1,1.0,25-26
559,GE,10,4,1,1.0,25-26
559,GE,11,3,1,1.0,25-26
559,GE,12,0,1,1.0,25-26
559,MM,9,5,1,1.0,25-26
559,MS,9,0,1,1.0,25-26
559,MS,11,1,1,1.0,25-26
559,NX,9,22,1,1.0,25-26
559,NX,10,1,1,1.0,25-26
559,NX,11,1,1,1.0,25-26
559,NX,12,0,1,1.0,25-26
562,AF,K,1,1,1.0,25-26
562,AF,1,0,1,1.0,25-26
562,CE,K,4,1,1.0,25-26
562,CE,1,1,1,1.0,25-26
562,CN,K,3,1,1.0,25-26
562,CN,3,0,1,1.0,25-26
562,GE,TK,17,1,1.0,25-26
562,GE,K,8,1,1.0,25-26
562,GE,1,0,1,1.0,25-26
562,GE,2,0,1,1.0,25-26
562,GE,3,1,1,1.0,25-26
562,GE,4,0,1,1.0,25-26
562,GE,5,0,1,1.0,25-26
404,AF,6,10,1,1.0,25-26
404,AF,7,0,1,1.0,25-26
404,GE,6,627,1,1.0,25-26
