ay,school_id,program_code,program_name
24-25,571,MM,MM: SDC - Mild to Moderate
24-25,571,MS,MS: SDC - Extensive Services
24-25,571,NX,NX: Newcomer Program
24-25,497,GE,GE: General Education
24-25,497,SE,SE: Spanish Immersion (Non-Native)
24-25,497,SN,SN: Spanish Immersion (Spanish Speakers)
24-25,876,CE,CE: Cantonese Immersion (All English)
24-25,876,CN,CN: Cantonese Immersion (Cantonese Speakers)
24-25,876,GE,GE: General Education
24-25,801,GE,GE: General Education
24-25,801,SA,SA: SDC - Extensive Services Autism Focus
24-25,485,CE,CE: Cantonese Immersion (All English)
24-25,485,CN,CN: Cantonese Immersion (Cantonese Speakers)
24-25,485,CT,CT: Cantonese Immersion (All others)
23-24,441,BA,Bay Street Transition Program
23-24,441,CA,SDC Transition Program (CAT)
23-24,442,CA,SDC Transition Program (CAT)
23-24,413,GE,<none>
23-24,413,SA,<none>
23-24,420,GE,<none>
23-24,420,MS,<none>
23-24,420,SE,<none>
23-24,420,SN,<none>
23-24,431,GE,<none>
23-24,431,MM,<none>
23-24,431,MN,<none>
23-24,431,SA,<none>
23-24,903,GE,<none>
23-24,435,GE,<none>
23-24,435,AF,<none>
23-24,815,GE,<none>
23-24,815,MM,<none>
23-24,815,CA,<none>
23-24,439,GE,<none>
23-24,439,MM,<none>
23-24,439,MS,<none>
23-24,439,NX,<none>
23-24,439,CA,<none>
23-24,858,GE,<none>
23-24,456,GE,<none>
23-24,456,SB,<none>
23-24,618,MM,<none>
23-24,618,SE,<none>
23-24,618,SN,<none>
23-24,764,GE,<none>
23-24,764,MM,<none>
23-24,764,MS,<none>
23-24,764,CA,<none>
23-24,449,GE,<none>
23-24,449,FB,<none>
23-24,625,GE,<none>
23-24,603,GE,<none>
23-24,603,TC,<none>
23-24,603,SB,<none>
23-24,872,GE,<none>
23-24,872,CB,<none>
23-24,509,CE,<none>
23-24,509,CN,<none>
23-24,478,GE,<none>
23-24,478,JE,<none>
23-24,478,JN,<none>
23-24,478,MM,<none>
23-24,478,JB,<none>
23-24,481,GE,<none>
23-24,481,SB,<none>
23-24,525,GE,<none>
23-24,632,GE,<none>
23-24,632,AF,<none>
23-24,632,ED,<none>
23-24,632,MM,<none>
23-24,632,MS,<none>
23-24,507,GE,<none>
23-24,521,GE,<none>
23-24,521,AF,<none>
23-24,521,ED,<none>
23-24,521,MS,<none>
23-24,529,GE,<none>
23-24,529,AF,<none>
23-24,529,MM,<none>
23-24,529,MS,<none>
23-24,529,NX,<none>
23-24,529,SN,<none>
23-24,539,GE,<none>
23-24,539,ED,<none>
23-24,680,GE,<none>
23-24,680,ED,<none>
23-24,680,SE,<none>
23-24,680,SN,<none>
23-24,546,GE,<none>
23-24,546,ED,<none>
23-24,546,MM,<none>
23-24,546,NX,<none>
23-24,546,SA,<none>
23-24,559,GE,<none>
23-24,559,ED,<none>
23-24,559,MM,<none>
23-24,559,MS,<none>
23-24,559,NX,<none>
23-24,559,SF,<none>
23-24,559,CA,<none>
23-24,562,GE,<none>
23-24,562,AF,<none>
23-24,562,CE,<none>
23-24,562,CN,<none>
23-24,404,GE,<none>
23-24,404,AF,<none>
23-24,404,MM,<none>
23-24,404,MS,<none>
23-24,404,SA,<none>
23-24,575,GE,<none>
23-24,575,SA,<none>
23-24,575,SB,<none>
23-24,589,GE,<none>
23-24,589,SA,<none>
23-24,593,GE,<none>
23-24,593,SB,<none>
23-24,453,GE,<none>
23-24,453,SE,<none>
23-24,453,SN,<none>
23-24,614,GE,<none>
23-24,614,CB,<none>
23-24,614,MM,<none>
23-24,614,SB,<none>
23-24,607,GE,<none>
23-24,607,CN,<none>
23-24,607,ED,<none>
23-24,607,MM,<none>
23-24,607,SN,<none>
23-24,537,MS,<none>
23-24,537,SE,<none>
23-24,537,SN,<none>
23-24,466,GE,<none>
23-24,644,GE,<none>
23-24,644,AF,<none>
23-24,757,GE,<none>
23-24,757,MM,<none>
23-24,757,MS,<none>
23-24,544,GE,<none>
23-24,544,MS,<none>
23-24,544,MM,<none>
23-24,838,GE,<none>
23-24,838,ME,<none>
23-24,838,MN,<none>
23-24,838,SA,<none>
23-24,710,GE,<none>
23-24,710,MM,<none>
23-24,664,AO,<none>
23-24,664,GE,<none>
23-24,670,GE,<none>
23-24,670,AF,<none>
23-24,490,GE,<none>
23-24,490,CB,<none>
23-24,676,GE,<none>
23-24,676,MS,<none>
23-24,476,NC,<none>
23-24,634,GE,<none>
23-24,634,ED,<none>
23-24,634,MM,<none>
23-24,634,SN,<none>
23-24,479,GE,<none>
23-24,479,KE,<none>
23-24,479,KN,<none>
23-24,405,GE,<none>
23-24,405,AF,<none>
23-24,405,ED,<none>
23-24,405,MM,<none>
23-24,405,MS,<none>
23-24,405,NX,<none>
23-24,405,SA,<none>
23-24,405,SF,<none>
23-24,691,GE,<none>
23-24,691,FB,<none>
23-24,691,MM,<none>
23-24,691,SB,<none>
23-24,697,GE,<none>
23-24,697,AF,<none>
23-24,697,MM,<none>
23-24,697,MS,<none>
23-24,697,SA,<none>
23-24,697,CA,<none>
23-24,830,GE,<none>
23-24,708,GE,<none>
23-24,708,AF,<none>
23-24,708,CN,<none>
23-24,708,MM,<none>
23-24,708,MS,<none>
23-24,708,NX,<none>
23-24,853,NX,<none>
23-24,853,GE,<none>
23-24,853,ED,<none>
23-24,853,MM,<none>
23-24,853,SF,<none>
23-24,853,CA,<none>
23-24,714,SE,<none>
23-24,714,SN,<none>
23-24,549,GE,<none>
23-24,718,GE,<none>
23-24,718,AF,<none>
23-24,950,GE,<none>
23-24,950,MM,<none>
23-24,505,GE,<none>
23-24,722,GE,<none>
23-24,722,AF,<none>
23-24,724,DS,<none>
23-24,724,NS,<none>
23-24,725,GE,<none>
23-24,725,ED,<none>
23-24,725,MM,<none>
23-24,725,MS,<none>
23-24,725,NX,<none>
23-24,725,SA,<none>
23-24,725,SF,<none>
23-24,725,CA,<none>
23-24,729,GE,<none>
23-24,729,CB,<none>
23-24,729,SE,<none>
23-24,729,SN,<none>
23-24,723,GE,<none>
23-24,723,CB,<none>
23-24,723,SB,<none>
23-24,650,GE,<none>
23-24,650,SB,<none>
23-24,735,GE,<none>
23-24,928,GE,<none>
23-24,651,GE,<none>
23-24,651,MM,<none>
23-24,651,CA,<none>
23-24,746,GE,<none>
23-24,746,ME,<none>
23-24,746,MN,<none>
23-24,638,GE,<none>
23-24,638,CB,<none>
23-24,786,GE,<none>
23-24,786,AF,<none>
23-24,786,JE,<none>
23-24,786,JN,<none>
23-24,786,JB,<none>
23-24,786,MM,<none>
23-24,569,GE,<none>
23-24,569,MM,<none>
23-24,975,GE,<none>
23-24,778,GE,<none>
23-24,778,AF,<none>
23-24,778,AO,<none>
23-24,778,ED,<none>
23-24,778,JB,<none>
23-24,778,MM,<none>
23-24,778,MS,<none>
23-24,778,TC,<none>
23-24,790,GE,<none>
23-24,760,GE,<none>
23-24,760,MM,<none>
23-24,760,SE,<none>
23-24,760,SN,<none>
23-24,965,GE,<none>
23-24,796,GE,<none>
23-24,797,GE,<none>
23-24,797,AF,<none>
23-24,797,CN,<none>
23-24,797,MM,<none>
23-24,797,SA,<none>
23-24,816,GE,<none>
23-24,816,MM,<none>
23-24,816,SB,<none>
23-24,816,MS,<none>
23-24,955,GE,<none>
23-24,656,GE,<none>
23-24,656,SB,<none>
23-24,493,GE,<none>
23-24,621,GX,<none>
23-24,621,NC,<none>
23-24,621,NS,<none>
23-24,621,NX,<none>
23-24,621,MM,<none>
23-24,621,SF,<none>
23-24,621,CA,<none>
23-24,814,GE,<none>
23-24,820,GE,<none>
23-24,823,GE,<none>
23-24,823,AF,<none>
23-24,488,GE,<none>
23-24,834,GE,<none>
23-24,834,CB,<none>
23-24,834,MM,<none>
23-24,834,SB,<none>
23-24,782,GE,<none>
23-24,782,MM,<none>
23-24,915,GE,<none>
23-24,842,GE,<none>
23-24,842,MS,<none>
23-24,750,GE,<none>
23-24,750,SA,<none>
23-24,848,GE,<none>
23-24,848,CB,<none>
23-24,513,GE,<none>
23-24,513,AF,<none>
23-24,513,CB,<none>
23-24,513,SB,<none>
23-24,859,GE,<none>
23-24,859,ED,<none>
23-24,832,GE,<none>
23-24,832,AO,<none>
23-24,832,MM,<none>
23-24,832,TC,<none>
23-24,997,GE,<none>
23-24,997,MM,<none>
23-24,997,MS,<none>
23-24,862,GE,<none>
23-24,862,CB,<none>
23-24,867,GE,<none>
23-24,867,CB,<none>
23-24,868,GE,<none>
23-24,868,MM,<none>
23-24,868,MS,<none>
23-24,868,NX,<none>
23-24,785,GE,<none>
23-24,785,MM,<none>
23-24,785,CA,<none>
23-24,571,GE,<none>
23-24,571,ED,<none>
23-24,571,MM,<none>
23-24,571,MS,<none>
23-24,571,NX,<none>
23-24,497,GE,<none>
23-24,497,SE,<none>
23-24,497,SN,<none>
23-24,876,GE,<none>
23-24,876,CE,<none>
23-24,876,CN,<none>
23-24,801,GE,<none>
23-24,801,SA,<none>
23-24,485,CE,<none>
23-24,485,CT,<none>
23-24,485,CN,<none>
22-23,441,BA,BA: Bay Street Transition Training Center
22-23,441,CA,CA: SDC - Transition Program (CAT)
22-23,442,CA,CA: SDC - Transition Program (CAT)
22-23,413,GE,GE: General Education
22-23,413,SA,SA: SDC - Mod/Severe Autism Focus
22-23,420,GE,GE: General Education
22-23,420,MS,MS: SDC - Moderate to Severe
22-23,420,SE,SE: Spanish Immersion (Non-Native)
22-23,420,SN,SN: Spanish Immersion (Spanish Speakers)
22-23,431,GE,GE: General Education
22-23,431,MM,MM: SDC - Mild to Moderate
22-23,431,MN,MN: Mandarin Immersion (Mandarin Speakers)
22-23,431,SA,SA: SDC - Mod/Severe Autism Focus
22-23,903,GE,GE: General Education
22-23,435,AF,AF: SDC - Mild/Mod Autism Focus
22-23,435,GE,GE: General Education
22-23,815,GE,GE: General Education
22-23,815,MM,MM: SDC - Mild to Moderate
22-23,815,CA,CA: SDC - Transition Program (CAT)
22-23,439,GE,GE: General Education
22-23,439,MM,MM: SDC - Mild to Moderate
22-23,439,MS,MS: SDC - Moderate to Severe
22-23,439,NX,NX: Newcomer Program
22-23,439,CA,CA: SDC - Transition Program (CAT)
22-23,858,GE,GE: General Education
22-23,456,GE,GE: General Education
22-23,456,SB,SB: Spanish Biliteracy
22-23,618,MM,MM: SDC - Mild to Moderate
22-23,618,SE,SE: Spanish Immersion (Non-Native)
22-23,618,SN,SN: Spanish Immersion (Spanish Speakers)
22-23,764,GE,GE: General Education
22-23,764,MM,MM: SDC - Mild to Moderate
22-23,764,MS,MS: SDC - Moderate to Severe
22-23,764,CA,CA: SDC - Transition Program (CAT)
22-23,449,GE,GE: General Education
22-23,449,FB,FB: Filipino FLES
22-23,625,GE,GE: General Education
22-23,603,GE,GE: General Education
22-23,603,SB,SB: Spanish Biliteracy
22-23,872,CB,CB: Cantonese Biliteracy
22-23,872,GE,GE: General Education
22-23,509,CE,CE: Cantonese Immersion (All English)
22-23,509,CN,CN: Cantonese Immersion (Cantonese Speakers)
22-23,478,GE,GE: General Education
22-23,478,JE,JE: Japanese Bilingual Bicultural Program - English Cohort
22-23,478,JN,JN: Japanese Bilingual Bicultural Program - Japanese Cohort
22-23,478,MM,MM: SDC - Mild to Moderate
22-23,478,JB,JB: Japanese Bilingual Bicultural Prgram
22-23,481,GE,GE: General Education
22-23,481,SB,SB: Spanish Biliteracy
22-23,525,GE,GE: General Education
22-23,632,AF,AF: SDC - Mild/Mod Autism Focus
22-23,632,ED,ED: SDC - Emotionally Disturbed
22-23,632,GE,GE: General Education
22-23,632,MM,MM: SDC - Mild to Moderate
22-23,632,MS,MS: SDC - Moderate to Severe
22-23,507,GE,GE: General Education
22-23,521,GE,GE: General Education
22-23,529,AF,AF: SDC - Mild/Mod Autism Focus
22-23,529,GE,GE: General Education
22-23,529,MM,MM: SDC - Mild to Moderate
22-23,529,MS,MS: SDC - Moderate to Severe
22-23,529,NX,NX: Newcomer Program
22-23,529,SN,SN: Spanish Immersion (Spanish Speakers)
22-23,539,GE,GE: General Education
22-23,539,ED,ED: SDC - Emotionally Disturbed
22-23,680,GE,GE: General Education
22-23,680,SE,SE: Spanish Immersion (Non-Native)
22-23,680,SN,SN: Spanish Immersion (Spanish Speakers)
22-23,680,ED,ED: SDC - Emotionally Disturbed
22-23,546,ED,ED: SDC - Emotionally Disturbed
22-23,546,GE,GE: General Education
22-23,546,MM,MM: SDC - Mild to Moderate
22-23,546,NX,NX: Newcomer Program
22-23,546,SA,SA: SDC - Mod/Severe Autism Focus
22-23,559,ED,ED: SDC - Emotionally Disturbed
22-23,559,GE,GE: General Education
22-23,559,MM,MM: SDC - Mild to Moderate
22-23,559,MS,MS: SDC - Moderate to Severe
22-23,559,NX,NX: Newcomer Program
22-23,559,CA,CA: SDC - Transition Program (CAT)
22-23,562,AF,AF: SDC - Mild/Mod Autism Focus
22-23,562,CE,CE: Cantonese Immersion (All English)
22-23,562,CN,CN: Cantonese Immersion (Cantonese Speakers)
22-23,562,GE,GE: General Education
22-23,404,AF,AF: SDC - Mild/Mod Autism Focus
22-23,404,GE,GE: General Education
22-23,404,MM,MM: SDC - Mild to Moderate
22-23,404,MS,MS: SDC - Moderate to Severe
22-23,404,SA,SA: SDC - Mod/Severe Autism Focus
22-23,575,GE,GE: General Education
22-23,575,SA,SA: SDC - Mod/Severe Autism Focus
22-23,575,SB,SB: Spanish Biliteracy
22-23,589,GE,GE: General Education
22-23,589,SA,SA: SDC - Mod/Severe Autism Focus
22-23,593,GE,GE: General Education
22-23,593,SB,SB: Spanish Biliteracy
22-23,453,GE,GE: General Education
22-23,453,SE,SE: Spanish Immersion (Non-Native)
22-23,453,SN,SN: Spanish Immersion (Spanish Speakers)
22-23,614,GE,GE: General Education
22-23,614,MM,MM: SDC - Mild to Moderate
22-23,614,SB,SB: Spanish Biliteracy
22-23,607,CN,CN: Cantonese Immersion (Cantonese Speakers)
22-23,607,ED,ED: SDC - Emotionally Disturbed
22-23,607,GE,GE: General Education
22-23,607,MM,MM: SDC - Mild to Moderate
22-23,607,SN,SN: Spanish Immersion (Spanish Speakers)
22-23,537,MS,MS: SDC - Moderate to Severe
22-23,537,SE,SE: Spanish Immersion (Non-Native)
22-23,537,SN,SN: Spanish Immersion (Spanish Speakers)
22-23,466,GE,GE: General Education
22-23,644,AF,AF: SDC - Mild/Mod Autism Focus
22-23,644,GE,GE: General Education
22-23,757,GE,GE: General Education
22-23,757,MM,MM: SDC - Mild to Moderate
22-23,757,MS,MS: SDC - Moderate to Severe
22-23,544,GE,GE: General Education
22-23,544,MS,MS: SDC - Moderate to Severe
22-23,838,GE,GE: General Education
22-23,838,ME,ME: Mandarin Immersion (Non-Native)
22-23,838,MN,MN: Mandarin Immersion (Mandarin Speakers)
22-23,838,SA,SA: SDC - Mod/Severe Autism Focus
22-23,710,GE,GE: General Education
22-23,710,MM,MM: SDC - Mild to Moderate
22-23,664,GE,GE: General Education
22-23,670,AF,AF: SDC - Mild/Mod Autism Focus
22-23,670,GE,GE: General Education
22-23,490,CB,CB: Cantonese Biliteracy
22-23,490,GE,GE: General Education
22-23,676,GE,GE: General Education
22-23,676,MS,MS: SDC - Moderate to Severe
22-23,476,NC,NC: Chinese Newcomer
22-23,634,ED,ED: SDC - Emotionally Disturbed
22-23,634,GE,GE: General Education
22-23,634,MM,MM: SDC - Mild to Moderate
22-23,634,SN,SN: Spanish Immersion (Spanish Speakers)
22-23,479,GE,GE: General Education
22-23,479,KE,KE: Korean Immersion (Non-Native)
22-23,479,KN,KN: Korean Immersion (Korean Speakers)
22-23,405,AF,AF: SDC - Mild/Mod Autism Focus
22-23,405,ED,ED: SDC - Emotionally Disturbed
22-23,405,GE,GE: General Education
22-23,405,MM,MM: SDC - Mild to Moderate
22-23,405,MS,MS: SDC - Moderate to Severe
22-23,405,NX,NX: Newcomer Program
22-23,405,SA,SA: SDC - Mod/Severe Autism Focus
22-23,691,FB,FB: Filipino FLES
22-23,691,GE,GE: General Education
22-23,691,MM,MM: SDC - Mild to Moderate
22-23,691,SB,SB: Spanish Biliteracy
22-23,697,AF,AF: SDC - Mild/Mod Autism Focus
22-23,697,GE,GE: General Education
22-23,697,MM,MM: SDC - Mild to Moderate
22-23,697,MS,MS: SDC - Moderate to Severe
22-23,697,SA,SA: SDC - Mod/Severe Autism Focus
22-23,697,CA,CA: SDC - Transition Program (CAT)
22-23,830,GE,GE: General Education
22-23,708,AF,AF: SDC - Mild/Mod Autism Focus
22-23,708,CN,CN: Cantonese Immersion (Cantonese Speakers)
22-23,708,GE,GE: General Education
22-23,708,MM,MM: SDC - Mild to Moderate
22-23,853,ED,ED: SDC - Emotionally Disturbed
22-23,853,GE,GE: General Education
22-23,853,MM,MM: SDC - Mild to Moderate
22-23,853,NX,NX: Newcomer Program
22-23,853,CA,CA: SDC - Transition Program (CAT)
22-23,714,SE,SE: Spanish Immersion (Non-Native)
22-23,714,SN,SN: Spanish Immersion (Spanish Speakers)
22-23,549,GE,GE: General Education
22-23,718,GE,GE: General Education
22-23,950,GE,GE: General Education
22-23,950,MM,MM: SDC - Mild to Moderate
22-23,505,GE,GE: General Education
22-23,722,AF,AF: SDC - Mild/Mod Autism Focus
22-23,722,GE,GE: General Education
22-23,724,DS,<none>
22-23,724,NS,NS: Spanish Newcomer
22-23,725,ED,ED: SDC - Emotionally Disturbed
22-23,725,GE,GE: General Education
22-23,725,MM,MM: SDC - Mild to Moderate
22-23,725,MS,MS: SDC - Moderate to Severe
22-23,725,NX,NX: Newcomer Program
22-23,725,SA,SA: SDC - Mod/Severe Autism Focus
22-23,725,CA,CA: SDC - Transition Program (CAT)
22-23,729,CB,CB: Cantonese Biliteracy
22-23,729,GE,GE: General Education
22-23,729,SE,SE: Spanish Immersion (Non-Native)
22-23,729,SN,SN: Spanish Immersion (Spanish Speakers)
22-23,723,CB,CB: Cantonese Biliteracy
22-23,723,GE,GE: General Education
22-23,723,SB,SB: Spanish Biliteracy
22-23,650,GE,GE: General Education
22-23,650,SB,SB: Spanish Biliteracy
22-23,735,GE,GE: General Education
22-23,928,GE,GE: General Education
22-23,651,GE,GE: General Education
22-23,651,MM,MM: SDC - Mild to Moderate
22-23,651,CA,CA: SDC - Transition Program (CAT)
22-23,746,GE,GE: General Education
22-23,746,ME,ME: Mandarin Immersion (Non-Native)
22-23,746,MN,MN: Mandarin Immersion (Mandarin Speakers)
22-23,638,CB,CB: Cantonese Biliteracy
22-23,638,GE,GE: General Education
22-23,786,GE,GE: General Education
22-23,786,AF,AF: SDC - Mild/Mod Autism Focus
22-23,786,JE,JE: Japanese Bilingual Bicultural Program - English Cohort
22-23,786,JN,JN: Japanese Bilingual Bicultural Program - Japanese Cohort
22-23,786,JB,JB: Japanese Bilingual Bicultural Prgram
22-23,569,GE,GE: General Education
22-23,569,MM,MM: SDC - Mild to Moderate
22-23,778,AF,AF: SDC - Mild/Mod Autism Focus
22-23,778,AO,AO: SDC - Auditory/Oral
22-23,778,GE,GE: General Education
22-23,778,JB,JB: Japanese Bilingual Bicultural Prgram
22-23,778,MM,MM: SDC - Mild to Moderate
22-23,778,MS,MS: SDC - Moderate to Severe
22-23,778,TC,TC: SDC - Total Communication
22-23,790,GE,GE: General Education
22-23,760,GE,GE: General Education
22-23,760,MM,MM: SDC - Mild to Moderate
22-23,760,SE,SE: Spanish Immersion (Non-Native)
22-23,760,SN,SN: Spanish Immersion (Spanish Speakers)
22-23,965,GE,GE: General Education
22-23,796,GE,GE: General Education
22-23,797,AF,AF: SDC - Mild/Mod Autism Focus
22-23,797,CN,CN: Cantonese Immersion (Cantonese Speakers)
22-23,797,GE,GE: General Education
22-23,797,MM,MM: SDC - Mild to Moderate
22-23,797,SA,SA: SDC - Mod/Severe Autism Focus
22-23,816,GE,GE: General Education
22-23,816,MM,MM: SDC - Mild to Moderate
22-23,816,SB,SB: Spanish Biliteracy
22-23,955,GE,GE: General Education
22-23,656,GE,GE: General Education
22-23,656,SB,SB: Spanish Biliteracy
22-23,493,GE,GE: General Education
22-23,621,GX,GX: General Education Newcomer
22-23,621,NC,NC: Chinese Newcomer
22-23,621,NS,NS: Spanish Newcomer
22-23,621,NX,NX: Newcomer Program
22-23,621,CA,CA: SDC - Transition Program (CAT)
22-23,814,GE,GE: General Education
22-23,820,GE,GE: General Education
22-23,823,AF,AF: SDC - Mild/Mod Autism Focus
22-23,823,GE,GE: General Education
22-23,488,GE,GE: General Education
22-23,834,CB,CB: Cantonese Biliteracy
22-23,834,GE,GE: General Education
22-23,834,SB,SB: Spanish Biliteracy
22-23,782,GE,GE: General Education
22-23,782,MM,MM: SDC - Mild to Moderate
22-23,915,GE,GE: General Education
22-23,842,GE,GE: General Education
22-23,842,MS,MS: SDC - Moderate to Severe
22-23,750,GE,GE: General Education
22-23,750,SA,SA: SDC - Mod/Severe Autism Focus
22-23,848,CB,CB: Cantonese Biliteracy
22-23,848,GE,GE: General Education
22-23,513,AF,AF: SDC - Mild/Mod Autism Focus
22-23,513,CB,CB: Cantonese Biliteracy
22-23,513,GE,GE: General Education
22-23,513,SB,SB: Spanish Biliteracy
22-23,859,GE,GE: General Education
22-23,832,AO,AO: SDC - Auditory/Oral
22-23,832,GE,GE: General Education
22-23,832,MM,MM: SDC - Mild to Moderate
22-23,997,GE,GE: General Education
22-23,997,MS,MS: SDC - Moderate to Severe
22-23,862,CB,CB: Cantonese Biliteracy
22-23,862,GE,GE: General Education
22-23,867,CB,CB: Cantonese Biliteracy
22-23,867,GE,GE: General Education
22-23,868,GE,GE: General Education
22-23,868,MM,MM: SDC - Mild to Moderate
22-23,868,NX,NX: Newcomer Program
22-23,785,GE,GE: General Education
22-23,785,MM,MM: SDC - Mild to Moderate
22-23,785,CA,CA: SDC - Transition Program (CAT)
22-23,571,ED,ED: SDC - Emotionally Disturbed
22-23,571,GE,GE: General Education
22-23,571,MM,MM: SDC - Mild to Moderate
22-23,571,MS,MS: SDC - Moderate to Severe
22-23,571,NX,NX: Newcomer Program
22-23,497,GE,GE: General Education
22-23,497,SE,SE: Spanish Immersion (Non-Native)
22-23,497,SN,SN: Spanish Immersion (Spanish Speakers)
22-23,876,GE,GE: General Education
22-23,876,CE,CE: Cantonese Immersion (All English)
22-23,876,CN,CN: Cantonese Immersion (Cantonese Speakers)
22-23,801,GE,GE: General Education
22-23,801,SA,SA: SDC - Mod/Severe Autism Focus
22-23,485,CE,CE: Cantonese Immersion (All English)
22-23,485,CT,CT: Cantonese Immersion (All others)
22-23,485,CN,CN: Cantonese Immersion (Cantonese Speakers)
21-22,420,GE,Gen Ed
21-22,903,GE,Gen Ed
21-22,449,GE,Gen Ed
21-22,525,GE,Gen Ed
21-22,507,GE,Gen Ed
21-22,680,GE,Gen Ed
21-22,453,GE,Gen Ed
21-22,830,GE,Gen Ed
21-22,950,GE,Gen Ed
21-22,928,GE,Gen Ed
21-22,975,GE,Gen Ed
21-22,790,GE,Gen Ed
21-22,965,GE,Gen Ed
21-22,955,GE,Gen Ed
21-22,820,GE,Gen Ed
21-22,915,GE,Gen Ed
21-22,997,GE,Gen Ed
21-22,603,DH,SDC - Deaf and Hard of Hearing
21-22,782,MM,SDC - Mild to Moderate
21-22,997,MS,SDC - Moderate to Severe
21-22,872,CB,Chinese Biliteracy
21-22,614,CB,Chinese Biliteracy
21-22,490,CB,Chinese Biliteracy
21-22,729,CB,Chinese Biliteracy
21-22,723,CB,Chinese Biliteracy
21-22,638,CB,Chinese Biliteracy
21-22,834,CB,Chinese Biliteracy
21-22,848,CB,Chinese Biliteracy
21-22,513,CB,Chinese Biliteracy
21-22,862,CB,Chinese Biliteracy
21-22,867,CB,Chinese Biliteracy
21-22,509,CN,Chinese Immersion (Cantonese)
21-22,562,CN,Chinese Immersion (Cantonese)
21-22,876,CN,Chinese Immersion (Cantonese)
21-22,485,CT,Chinese Immersion (Non-English)
21-22,509,CE,Chinese Immersion (Non-Native)
21-22,562,CE,Chinese Immersion (Non-Native)
21-22,876,CE,Chinese Immersion (Non-Native)
21-22,485,CE,Chinese Immersion (Non-Native)
21-22,449,FB,Filipino Biliteracy
21-22,691,FB,Filipino Biliteracy
21-22,413,GE,Gen Ed
21-22,435,GE,Gen Ed
21-22,456,GE,Gen Ed
21-22,625,GE,Gen Ed
21-22,603,GE,Gen Ed
21-22,872,GE,Gen Ed
21-22,478,GE,Gen Ed
21-22,481,GE,Gen Ed
21-22,521,GE,Gen Ed
21-22,539,GE,Gen Ed
21-22,562,GE,Gen Ed
21-22,575,GE,Gen Ed
21-22,589,GE,Gen Ed
21-22,593,GE,Gen Ed
21-22,614,GE,Gen Ed
21-22,644,GE,Gen Ed
21-22,544,GE,Gen Ed
21-22,838,GE,Gen Ed
21-22,664,GE,Gen Ed
21-22,670,GE,Gen Ed
21-22,490,GE,Gen Ed
21-22,676,GE,Gen Ed
21-22,479,GE,Gen Ed
21-22,691,GE,Gen Ed
21-22,549,GE,Gen Ed
21-22,718,GE,Gen Ed
21-22,505,GE,Gen Ed
21-22,722,GE,Gen Ed
21-22,729,GE,Gen Ed
21-22,723,GE,Gen Ed
21-22,650,GE,Gen Ed
21-22,735,GE,Gen Ed
21-22,746,GE,Gen Ed
21-22,638,GE,Gen Ed
21-22,786,GE,Gen Ed
21-22,569,GE,Gen Ed
21-22,760,GE,Gen Ed
21-22,796,GE,Gen Ed
21-22,816,GE,Gen Ed
21-22,656,GE,Gen Ed
21-22,493,GE,Gen Ed
21-22,814,GE,Gen Ed
21-22,823,GE,Gen Ed
21-22,488,GE,Gen Ed
21-22,834,GE,Gen Ed
21-22,782,GE,Gen Ed
21-22,842,GE,Gen Ed
21-22,750,GE,Gen Ed
21-22,848,GE,Gen Ed
21-22,513,GE,Gen Ed
21-22,859,GE,Gen Ed
21-22,862,GE,Gen Ed
21-22,867,GE,Gen Ed
21-22,497,GE,Gen Ed
21-22,876,GE,Gen Ed
21-22,801,GE,Gen Ed
21-22,478,JE,Japanese Bilingual Bicultural - English
21-22,786,JE,Japanese Bilingual Bicultural - English
21-22,478,JN,Japanese Bilingual Bicultural - Japanese
21-22,786,JN,Japanese Bilingual Bicultural - Japanese
21-22,479,KN,Korean Immersion (Korean)
21-22,479,KE,Korean Immersion (Non-Native)
21-22,838,MN,Mandarin Immersion (Mandarin)
21-22,746,MN,Mandarin Immersion (Mandarin)
21-22,838,ME,Mandarin Immersion (Non-Native)
21-22,746,ME,Mandarin Immersion (Non-Native)
21-22,724,NX,Newcomer
21-22,664,AO,SDC - Auditory/Oral
21-22,618,MM,SDC - Mild to Moderate
21-22,478,MM,SDC - Mild to Moderate
21-22,614,MM,SDC - Mild to Moderate
21-22,691,MM,SDC - Mild to Moderate
21-22,569,MM,SDC - Mild to Moderate
21-22,760,MM,SDC - Mild to Moderate
21-22,816,MM,SDC - Mild to Moderate
21-22,435,MM,SDC - Mild/Mod Autism Focus
21-22,562,MM,SDC - Mild/Mod Autism Focus
21-22,644,MM,SDC - Mild/Mod Autism Focus
21-22,670,MM,SDC - Mild/Mod Autism Focus
21-22,722,MM,SDC - Mild/Mod Autism Focus
21-22,786,MM,SDC - Mild/Mod Autism Focus
21-22,823,MM,SDC - Mild/Mod Autism Focus
21-22,513,MM,SDC - Mild/Mod Autism Focus
21-22,420,MS,SDC - Moderate to Severe
21-22,537,MS,SDC - Moderate to Severe
21-22,544,MS,SDC - Moderate to Severe
21-22,676,MS,SDC - Moderate to Severe
21-22,842,MS,SDC - Moderate to Severe
21-22,413,SA,SDC - Severely Autistic
21-22,575,SA,SDC - Severely Autistic
21-22,589,SA,SDC - Severely Autistic
21-22,838,SA,SDC - Severely Autistic
21-22,750,SA,SDC - Severely Autistic
21-22,801,SA,SDC - Severely Autistic
21-22,539,ED,"SDC - Social-Emotional/Behavioral
Enhanced"
