ay,school_id,program_code,program_name
25-26,479,GE,GE: General Education
25-26,479,KE,KE: Korean Immersion (Non-Native)
25-26,479,KN,KN: Korean Immersion (Korean Speakers)
25-26,405,AF,AF: SDC - Mild/Mod Autism Focus
25-26,405,ED,ED: SDC - SOAR
25-26,405,GE,GE: General Education
25-26,405,MM,MM: SDC - Mild to Moderate
25-26,405,MS,MS: SDC - Extensive Services
25-26,405,NX,NX: Newcomer Program
25-26,405,SA,SA: SDC - Extensive Services Autism Focus
25-26,691,FB,FB: Filipino FLES
25-26,691,GE,GE: General Education
25-26,691,MM,MM: SDC - Mild to Moderate
25-26,691,SB,SB: Spanish Biliteracy
25-26,697,AF,AF: SDC - Mild/Mod Autism Focus
25-26,697,CA,SDC Transition Program (CAT)
25-26,697,GE,GE: General Education
25-26,697,MM,MM: SDC - Mild to Moderate
25-26,697,MS,MS: SDC - Extensive Services
25-26,697,SA,SA: SDC - Extensive Services Autism Focus
25-26,830,GE,GE: General Education
25-26,708,AF,AF: SDC - Mild/Mod Autism Focus
25-26,708,CN,CN: Cantonese Immersion (Cantonese Speakers)
25-26,708,GE,GE: General Education
25-26,708,MM,MM: SDC - Mild to Moderate
25-26,853,CA,SDC Transition Program (CAT)
25-26,853,ED,ED: SDC - SOAR
25-26,853,GE,GE: General Education
25-26,853,MM,MM: SDC - Mild to Moderate
25-26,853,NS,NS: Spanish Newcomer
25-26,714,SE,SE: Spanish Immersion (Non-Native)
25-26,714,SN,SN: Spanish Immersion (Spanish Speakers)
25-26,549,GE,GE: General Education
25-26,718,AF,AF: SDC - Mild/Mod Autism Focus
25-26,718,GE,GE: General Education
25-26,950,GE,GE: General Education
25-26,950,MM,MM: SDC - Mild to Moderate
25-26,505,GE,GE: General Education
25-26,722,AF,AF: SDC - Mild/Mod Autism Focus
25-26,722,GE,GE: General Education
25-26,724,SE,SE: Spanish Immersion (Non-Native)
25-26,724,SN,SN: Spanish Immersion (Spanish Speakers)
25-26,725,CA,SDC Transition Program (CAT)
