SchoolName,idSchool,Grade,Program,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice+,Grand Total
Lilienthal (Claire) K-8,479,6,GE,89,46,38,22,29,20,21.0,23.0,288.0
Lilienthal (Claire) K-8,479,6,KN,11,0,0,0,0,0,0.0,0.0,11.0
Lilienthal (Claire) K-8,479,7,GE,54,2,0,0,1,0,0.0,0.0,57.0
Lilienthal (Claire) K-8,479,7,KN,19,0,0,0,0,0,0.0,0.0,19.0
Lilienthal (Claire) K-8,479,8,GE,53,2,3,2,1,1,1.0,1.0,64.0
Lilienthal (Claire) K-8,479,8,KN,17,0,0,0,0,0,0.0,0.0,17.0
Lincoln (Abraham) HS,405,9,ED,1,3,0,0,1,0,0.0,0.0,5.0
Lincoln (Abraham) HS,405,9,GE,1353,787,352,95,25,2,4.0,4.0,2622.0
Lincoln (Abraham) HS,405,9,MM,11,6,1,2,1,0,0.0,0.0,21.0
Lincoln (Abraham) HS,405,9,MN,40,25,7,2,5,1,1.0,3.0,84.0
Lincoln (Abraham) HS,405,9,MS,4,5,3,1,0,0,0.0,0.0,13.0
Lincoln (Abraham) HS,405,9,NX,10,10,8,2,1,2,1.0,0.0,34.0
Lincoln (Abraham) HS,405,10,GE,527,13,6,0,0,0,0.0,0.0,546.0
Lincoln (Abraham) HS,405,10,MM,13,0,0,1,0,0,0.0,0.0,14.0
Lincoln (Abraham) HS,405,10,MN,32,1,0,0,0,0,0.0,0.0,33.0
Lincoln (Abraham) HS,405,10,MS,8,0,0,0,0,0,0.0,0.0,8.0
Lincoln (Abraham) HS,405,10,NX,28,0,0,0,0,0,0.0,0.0,28.0
Lincoln (Abraham) HS,405,11,ED,2,0,0,0,0,0,0.0,0.0,2.0
Lincoln (Abraham) HS,405,11,GE,489,6,2,0,1,0,0.0,0.0,498.0
Lincoln (Abraham) HS,405,11,MM,7,0,0,0,0,0,0.0,0.0,7.0
Lincoln (Abraham) HS,405,11,MS,3,1,0,0,0,0,0.0,0.0,4.0
Lincoln (Abraham) HS,405,11,NX,43,0,0,0,0,0,0.0,0.0,43.0
Lincoln (Abraham) HS,405,11,SF,2,0,0,0,0,0,0.0,0.0,2.0
Lincoln (Abraham) HS,405,12,ED,3,0,0,0,0,0,0.0,0.0,3.0
Lincoln (Abraham) HS,405,12,GE,421,3,1,0,0,0,0.0,0.0,425.0
Lincoln (Abraham) HS,405,12,MM,5,0,0,0,0,0,0.0,0.0,5.0
Lincoln (Abraham) HS,405,12,MN,32,1,0,0,0,0,0.0,0.0,33.0
Lincoln (Abraham) HS,405,12,MS,1,0,0,0,0,0,0.0,0.0,1.0
Lincoln (Abraham) HS,405,12,NX,51,0,0,0,0,0,0.0,0.0,51.0
Lincoln (Abraham) HS,405,12,SF,3,0,0,0,0,0,0.0,0.0,3.0
Longfellow ES,691,KG,FB,2,1,1,1,0,1,1.0,27.0,34.0
Longfellow ES,691,KG,GE,38,8,9,9,8,3,1.0,182.0,258.0
Longfellow ES,691,KG,MM,1,0,0,1,0,1,0.0,0.0,3.0
Longfellow ES,691,KG,SB,11,6,7,7,3,1,0.0,1.0,36.0
Longfellow ES,691,1,FB,17,0,0,0,0,0,1.0,0.0,18.0
Longfellow ES,691,1,GE,39,1,0,0,1,0,1.0,3.0,45.0
Longfellow ES,691,1,MM,1,0,0,0,0,0,0.0,0.0,1.0
Longfellow ES,691,1,SB,19,0,0,1,0,0,0.0,0.0,20.0
Longfellow ES,691,2,FB,22,0,0,0,0,0,0.0,0.0,22.0
Longfellow ES,691,2,GE,39,0,0,0,1,0,0.0,2.0,42.0
Longfellow ES,691,2,MM,8,0,0,0,0,0,0.0,0.0,8.0
Longfellow ES,691,2,SB,23,1,0,0,0,0,0.0,0.0,24.0
Longfellow ES,691,3,FB,21,0,0,0,0,0,0.0,1.0,22.0
Longfellow ES,691,3,GE,46,0,0,0,0,0,0.0,1.0,47.0
Longfellow ES,691,3,SB,21,0,0,0,0,0,0.0,0.0,21.0
Longfellow ES,691,4,GE,67,0,0,0,0,0,0.0,0.0,67.0
Longfellow ES,691,4,MM,3,0,0,0,0,0,0.0,0.0,3.0
Longfellow ES,691,4,SB,22,0,0,0,0,0,0.0,0.0,22.0
Longfellow ES,691,5,GE,67,0,0,0,0,0,0.0,1.0,68.0
Longfellow ES,691,5,MM,1,0,0,0,0,0,0.0,0.0,1.0
