Grade,Program,SchoolName,1st,2nd,3rd,4th,5th,6-10,6,7,8,9,10,11-25,26+,Grand Total
K,Gen Ed,King (Thomas Starr) ES,6,7,8,10,5,18,4,5,3,5,1,27,21,102
K,Gen Ed,Lafayette ES,93,23,49,57,45,142,42,30,30,20,20,159,19,587
K,Gen Ed,Lakeshore ES,28,35,19,27,18,83,13,30,22,11,7,94,30,334
K,Gen Ed,Lau (Gordon J) ES,33,31,12,16,9,24,7,9,6,2,,19,26,170
K,Gen Ed,Lawton K-8,120,131,125,90,73,235,68,49,34,33,51,149,12,935
K,Gen Ed,Lilienthal (Claire) K-8,160,132,90,59,37,112,32,32,16,18,14,89,15,694
K,Gen Ed,Longfellow ES,30,23,10,3,2,10,4,2,1,3,,7,17,102
K,Gen Ed,Malcolm X Academy ES,11,4,5,3,2,1,,,,,1,1,8,35
K,Gen Ed,McCoppin (Frank) ES,10,25,24,29,33,156,47,42,23,22,22,170,18,465
K,Gen Ed,McKinley ES,53,46,44,38,44,137,34,24,29,27,23,147,20,529
K,Gen Ed,Milk (Harvey) Civil Right ES,15,12,26,16,15,75,13,11,22,16,13,81,27,267
K,Gen Ed,Miraloma ES,76,49,54,51,54,165,35,36,35,28,31,156,15,620
K,Gen Ed,Monroe ES,28,37,24,14,13,30,8,6,4,4,8,45,16,207
K,Gen Ed,Moscone (George R) ES,20,19,7,7,9,19,5,3,4,2,5,13,16,110
K,Gen Ed,Muir (John) ES,16,9,11,10,6,35,6,7,5,9,8,56,21,164
K,Gen Ed,New Traditions ES,64,51,59,64,54,176,47,51,28,22,28,134,18,620
K,Gen Ed,Ortega (Jose) ES,22,22,19,14,13,47,11,9,11,9,7,73,26,236
K,Gen Ed,Parker (Jean) ES,5,11,9,9,7,22,11,3,4,2,2,11,20,94
K,Gen Ed,Parks (Rosa) ES,14,18,17,8,9,30,8,3,7,7,5,49,14,159
K,Gen Ed,Peabody (George) ES,100,126,101,78,55,147,41,18,37,27,24,134,9,750
