Grade,Program,SchoolName,1st,2nd,3rd,4th,5th,6-10,6,7,8,9,10,11-25,26+,Grand Total
9th Grade,SDC - Mild to Moderate,O'Connell (John) HS,4,,2,2,,1,,,,,1,0,0,9
9th Grade,SDC - Mild to Moderate,The Academy - SF @ McAteer HS,1,,3,1,,1,,,,,1,0,0,6
9th Grade,SDC - Mild to Moderate,Wallenberg (Raoul) HS,1,4,2,2,,1,,,1,,,1,0,11
9th Grade,SDC - Mild to Moderate,Washington (George) HS,5,6,7,1,1,1,1,,,,,0,0,21
9th Grade,SDC - Mild/Mod Autism Focus,Lowell HS,6,,,,,0,,,,,,0,0,6
9th Grade,SDC - Moderate to Severe,Balboa HS,3,3,1,,,0,,,,,,0,0,7
9th Grade,SDC - Moderate to Severe,Burton (Phillip and Sala) HS,2,,1,,,0,,,,,,0,0,3
9th Grade,SDC - Moderate to Severe,Galileo HS,1,1,,,,0,,,,,,0,0,2
9th Grade,SDC - Moderate to Severe,Jordan (June) HS,,,2,1,,0,,,,,,0,0,3
9th Grade,SDC - Moderate to Severe,Lincoln (Abraham) HS,1,6,,,,0,,,,,,0,0,7
9th Grade,SDC - Moderate to Severe,Lowell HS,8,4,,,1,0,,,,,,0,0,13
9th Grade,SDC - Moderate to Severe,Mission HS,4,,1,,,0,,,,,,0,0,5
9th Grade,SDC - Moderate to Severe,Washington (George) HS,3,1,2,2,,0,,,,,,0,0,8
9th Grade,SDC - Moderate to Severe,Lincoln (Abraham) HS,3,5,4,,,0,,,,,,0,0,12
