School,SchoolCode,Grade,Prg,Total,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice+
Alamo Es,413,K,GEN,1096,89.0,85.0,72.0,53.0,56.0,57.0,50.0,634.0
Alamo Es,413,K,SA,3,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Alamo Es,413,01,GEN,33,3.0,1.0,7.0,0.0,0.0,3.0,4.0,15.0
Alamo Es,413,02,GEN,25,1.0,8.0,2.0,1.0,2.0,1.0,1.0,9.0
Alamo Es,413,03,GEN,23,3.0,5.0,1.0,1.0,4.0,1.0,1.0,7.0
Alamo Es,413,04,GEN,19,6.0,2.0,3.0,0.0,2.0,1.0,1.0,4.0
Alamo Es,413,05,GEN,9,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0
Alamo Es,413,TOTAL,ALL,1208,104.0,102.0,88.0,55.0,65.0,63.0,58.0,673.0
Alvarado Es,420,K,GEN,972,44.0,68.0,52.0,65.0,56.0,67.0,62.0,558.0
Alvarado Es,420,K,IMMS,758,115.0,70.0,61.0,49.0,49.0,37.0,38.0,339.0
Alvarado Es,420,K,MS,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alvarado Es,420,01,GEN,50,3.0,5.0,8.0,8.0,6.0,2.0,4.0,14.0
Alvarado Es,420,01,IMMS,40,8.0,8.0,6.0,1.0,4.0,2.0,1.0,10.0
Alvarado Es,420,02,GEN,33,3.0,4.0,6.0,3.0,3.0,2.0,3.0,9.0
Alvarado Es,420,02,IMMS,11,6.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
Alvarado Es,420,03,GEN,20,6.0,4.0,0.0,2.0,1.0,0.0,1.0,6.0
Alvarado Es,420,03,IMMS,15,4.0,3.0,6.0,2.0,0.0,0.0,0.0,0.0
Alvarado Es,420,04,GEN,16,3.0,1.0,0.0,0.0,2.0,2.0,2.0,6.0
Alvarado Es,420,04,IMMS,4,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
Alvarado Es,420,05,GEN,3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Alvarado Es,420,05,IMMS,8,0.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0
Alvarado Es,420,TOTAL,ALL,1933,195.0,171.0,145.0,133.0,123.0,112.0,111.0,943.0
Alvarado Tk,844,TK,GEN,198,93.0,38.0,20.0,19.0,17.0,7.0,1.0,3.0
Alvarado Tk,844,TOTAL,ALL,198,93.0,38.0,20.0,19.0,17.0,7.0,1.0,3.0
Argonne Es,435,K,GEN,1104,83.0,65.0,68.0,64.0,57.0,50.0,39.0,678.0
Argonne Es,435,01,GEN,36,2.0,4.0,3.0,5.0,1.0,6.0,0.0,15.0
Argonne Es,435,02,GEN,27,5.0,1.0,1.0,2.0,2.0,3.0,1.0,12.0
Argonne Es,435,03,GEN,21,2.0,1.0,3.0,4.0,2.0,0.0,1.0,8.0
Argonne Es,435,04,GEN,16,2.0,0.0,1.0,7.0,1.0,0.0,1.0,4.0
Argonne Es,435,05,GEN,8,3.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
Argonne Es,435,TOTAL,ALL,1212,97.0,72.0,76.0,82.0,63.0,59.0,43.0,720.0
Argonne Tk,845,TK,GEN,236,78.0,86.0,43.0,11.0,9.0,4.0,2.0,3.0
Argonne Tk,845,TOTAL,ALL,236,78.0,86.0,43.0,11.0,9.0,4.0,2.0,3.0
Argonne Tk,845,555,Franklin,100,94102.0,,,,,,,
Bryant Es,456,K,GEN,149,5.0,10.0,2.0,9.0,4.0,2.0,3.0,114.0
Bryant Es,456,K,SPN,56,17.0,13.0,4.0,11.0,5.0,1.0,1.0,4.0
Bryant Es,456,01,GEN,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
Bryant Es,456,01,SPN,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Bryant Es,456,02,GEN,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Bryant Es,456,02,SPN,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bryant Es,456,03,SPN,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bryant Es,456,TOTAL,ALL,216,24.0,25.0,7.0,21.0,9.0,3.0,4.0,123.0
Carmichael Tk,883,TK,GEN,89,26.0,12.0,13.0,11.0,7.0,1.0,4.0,15.0
Carmichael Tk,883,TOTAL,ALL,89,26.0,12.0,13.0,11.0,7.0,1.0,4.0,15.0
Carver Es,625,K,GEN,102,6.0,5.0,4.0,2.0,1.0,0.0,0.0,84.0
Carver Es,625,01,GEN,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Carver Es,625,TOTAL,ALL,105,6.0,6.0,4.0,2.0,1.0,0.0,0.0,86.0
Chavez Es,603,K,GEN,149,11.0,10.0,10.0,2.0,5.0,6.0,3.0,102.0
Chavez Es,603,K,DT,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chavez Es,603,K,SPN,66,18.0,12.0,15.0,10.0,6.0,2.0,1.0,2.0
Chavez Es,603,01,GEN,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Chavez Es,603,01,SPN,3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Chavez Es,603,02,GEN,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
