School ID,School Name,Grade,Program Code,Program Name,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice,9th Choice,10th+ Choice
456,Bryant ES,5,GE,GE: General Education,,,1,,,1,,,1,
618,Buena Vista Horace Mann K-8,K,MM,MM: SDC - Mild to Moderate,4,2,,1,,,,,,
618,Buena Vista Horace Mann K-8,K,SE,SE: Spanish Immersion (Non-Native),44,28,30,25,14,11,9,6,10,36
618,Buena Vista Horace Mann K-8,K,SN,SN: Spanish Immersion (Spanish Speakers),50,29,18,7,6,5,1,3,1,7
618,Buena Vista Horace Mann K-8,1,SE,SE: Spanish Immersion (Non-Native),3,1,2,1,,,,,,2
618,Buena Vista Horace Mann K-8,1,SN,SN: Spanish Immersion (Spanish Speakers),1,2,,,1,,,,,
618,Buena Vista Horace Mann K-8,2,MM,MM: SDC - Mild to Moderate,,1,,,,,,,,
618,Buena Vista Horace Mann K-8,2,SN,SN: Spanish Immersion (Spanish Speakers),2,1,,,2,,,,,
618,Buena Vista Horace Mann K-8,3,SN,SN: Spanish Immersion (Spanish Speakers),3,1,,,,,,,,
618,Buena Vista Horace Mann K-8,4,SN,SN: Spanish Immersion (Spanish Speakers),4,2,1,,,,,,,
618,Buena Vista Horace Mann K-8,5,SN,SN: Spanish Immersion (Spanish Speakers),6,2,,,,,,,,
618,Buena Vista Horace Mann K-8,6,SN,SN: Spanish Immersion (Spanish Speakers),59,45,27,22,12,2,,2,,2
618,Buena Vista Horace Mann K-8,7,SN,SN: Spanish Immersion (Spanish Speakers),2,,,,,,,,,
618,Buena Vista Horace Mann K-8,8,SN,SN: Spanish Immersion (Spanish Speakers),1,,,,,,,,,
764,Burton (Phillip and Sala) HS,9,GE,GE: General Education,212,173,141,136,118,53,30,26,11,6
764,Burton (Phillip and Sala) HS,9,MM,MM: SDC - Mild to Moderate,2,1,2,4,2,,1,,,
764,Burton (Phillip and Sala) HS,9,MS,MS: SDC - Moderate to Severe,,2,,,,,,,,
764,Burton (Phillip and Sala) HS,10,GE,GE: General Education,,4,4,1,1,,,,1,
764,Burton (Phillip and Sala) HS,11,GE,GE: General Education,3,2,3,2,1,1,,,,1
764,Burton (Phillip and Sala) HS,12,GE,GE: General Education,,2,2,,1,,,1,,
764,Burton (Phillip and Sala) HS,13,CA,CA: SDC - Transition Program (CAT),3,,1,2,,,,,,1
449,Carmichael (Bessie) K-8,TK,GE,GE: General Education,20,12,5,8,6,2,2,2,2,3
449,Carmichael (Bessie) K-8,K,FB,FB: Filipino FLES,6,3,3,,,,,,,1
449,Carmichael (Bessie) K-8,K,GE,GE: General Education,38,20,16,15,15,1,4,1,3,17
449,Carmichael (Bessie) K-8,1,FB,FB: Filipino FLES,1,,,,,,,,,
449,Carmichael (Bessie) K-8,1,GE,GE: General Education,,3,1,,2,,,,,
449,Carmichael (Bessie) K-8,2,GE,GE: General Education,2,1,,,,,,,,
449,Carmichael (Bessie) K-8,3,FB,FB: Filipino FLES,,,,,,1,,,,
449,Carmichael (Bessie) K-8,4,FB,FB: Filipino FLES,,,,1,,1,,,,
449,Carmichael (Bessie) K-8,4,GE,GE: General Education,2,,,,1,,,,,2
449,Carmichael (Bessie) K-8,5,GE,GE: General Education,,1,,1,,1,,,,
449,Carmichael (Bessie) K-8,6,GE,GE: General Education,17,13,9,13,12,1,2,1,,6
449,Carmichael (Bessie) K-8,7,GE,GE: General Education,,,,,,,,,,1
